Model,Class,ANA,NOM,NOA,ITC,ETC,CAC,DIT,CLD,NOC,NOD
Controllers
,UMLController,0.78571427,14,6,0,0,0,0,0,0,0
Views
,MainFrame,0.88,25,14,0,0,1,0,0,0,0
,FileChooser,0.0,4,3,0,0,0,0,0,0,0
,Component,0.0,2,1,0,0,0,0,1,7,7
,ButtonComponent,1.0,2,1,0,0,0,1,0,0,0
,DropdownComponent,0.75,4,3,0,0,0,1,0,0,0
,FileInputComponent,0.75,4,4,0,0,0,1,0,0,0
,LabelComponent,0.5,2,1,0,0,0,1,0,0,0
,ListComponent,0.625,8,5,0,0,1,1,0,0,0
,CustomListModel,0.33333334,3,1,0,0,1,0,0,0,0
,TextAreaComponent,0.75,4,4,0,0,0,1,0,0,0
Models
,Model,0.0,2,2,0,0,0,0,0,0,0
,ModelDeclaration,0.2,5,2,0,0,0,0,1,2,2
,UMLDecoder,0.4,5,4,0,0,0,0,0,0,0
,Aggregation,0.0,2,2,0,1,0,0,0,0,0
,AggregationDeclaration,0.5,2,1,0,0,0,1,0,0,0
,Attribute,0.25,4,2,0,0,0,0,0,0,0
,Class,0.26086956,23,12,3,1,3,0,0,0,0
,Operation,0.2,5,3,0,0,0,0,0,0,0
,Generalization,0.5,2,1,0,0,0,0,0,0,0
,Relation,0.0,2,2,0,1,0,0,0,0,0
,RelationDeclaration,0.5,2,2,0,0,0,1,0,0,0
